epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,791.897,1.0733,2.23989,1.57669,0.70812,0.69545,0.80462,0.62832,0.81768,2.45765,1.51692,0.000472461,0.000472461,0.000472461
2,1578.55,1.00449,1.34611,1.46477,0.5188,0.55792,0.53647,0.30118,1.31951,2.33912,2.07926,0.000930008,0.000930008,0.000930008
3,2364.71,1.01595,1.2026,1.4648,0.60175,0.7969,0.86974,0.61948,0.96959,1.85147,1.60177,0.00136869,0.00136869,0.00136869
4,3139.02,1.00124,1.06581,1.4487,0.74134,0.7533,0.84255,0.60723,1.05755,1.4647,1.74882,0.00134412,0.00134412,0.00134412
5,3913.44,0.96605,0.90031,1.41445,0.65914,0.8463,0.88599,0.68689,0.84268,1.10222,1.45951,0.00131582,0.00131582,0.00131582
6,4689.24,0.91831,0.82167,1.38414,0.79844,0.84963,0.92556,0.66738,0.98094,1.04075,1.63541,0.00128753,0.00128753,0.00128753
7,5468.44,0.91025,0.78258,1.3749,0.98529,0.90154,0.97268,0.76628,0.81502,0.62966,1.43842,0.00125923,0.00125923,0.00125923
8,6244.47,0.87853,0.74727,1.34749,0.83159,0.8068,0.93158,0.76314,0.73605,0.90907,1.36993,0.00123094,0.00123094,0.00123094
9,7023.64,0.86808,0.70234,1.33296,0.74854,0.87138,0.91115,0.52551,1.41549,1.0452,2.31494,0.00120265,0.00120265,0.00120265
10,7799.55,0.84428,0.68848,1.32513,0.96141,0.91663,0.97812,0.75564,0.86123,0.58046,1.455,0.00117435,0.00117435,0.00117435
11,8572.51,0.85028,0.66306,1.32711,0.84381,0.88726,0.96801,0.77601,0.75692,0.67079,1.34254,0.00114606,0.00114606,0.00114606
12,9360.23,0.81557,0.61736,1.30625,0.77517,0.88995,0.95798,0.75732,0.76759,0.75687,1.38534,0.00111776,0.00111776,0.00111776
13,10138.1,0.82246,0.6196,1.30085,0.90092,0.8668,0.96842,0.78622,0.73909,0.62825,1.33029,0.00108947,0.00108947,0.00108947
14,11546.8,0.8007,0.62078,1.2853,0.98266,0.87981,0.96801,0.80021,0.69557,0.58016,1.31191,0.00106118,0.00106118,0.00106118
15,13102.1,0.78894,0.57922,1.27165,0.93686,0.8994,0.97148,0.79428,0.70847,0.57547,1.3387,0.00103288,0.00103288,0.00103288
16,14688.1,0.80019,0.56345,1.28336,0.97643,0.8932,0.96936,0.78289,0.74909,0.57039,1.34767,0.00100459,0.00100459,0.00100459
17,15945.7,0.79723,0.56343,1.28071,0.99295,0.92271,0.97613,0.80072,0.71539,0.49155,1.29779,0.000976293,0.000976293,0.000976293
18,16708.9,0.79158,0.56487,1.27961,0.95423,0.87851,0.96504,0.78553,0.72041,0.5787,1.32493,0.000947999,0.000947999,0.000947999
19,17472.1,0.7639,0.53837,1.25687,0.99373,0.87981,0.97678,0.80561,0.7446,0.53482,1.32116,0.000919704,0.000919704,0.000919704
20,18233.7,0.75971,0.53014,1.25325,0.99285,0.9042,0.97717,0.81152,0.67156,0.50991,1.26711,0.00089141,0.00089141,0.00089141
21,18998.5,0.75373,0.54372,1.25288,0.99152,0.91107,0.9729,0.81116,0.668,0.52588,1.26077,0.000863116,0.000863116,0.000863116
22,19766.9,0.74627,0.51178,1.24601,0.94735,0.90955,0.97717,0.80815,0.67186,0.501,1.27068,0.000834822,0.000834822,0.000834822
23,20528.9,0.72956,0.50303,1.23696,0.8972,0.89395,0.96813,0.80175,0.69382,0.56865,1.28461,0.000806528,0.000806528,0.000806528
24,21328.3,0.74818,0.50168,1.24853,0.98165,0.91754,0.97879,0.81751,0.67452,0.51829,1.28783,0.000778233,0.000778233,0.000778233
25,22144,0.72327,0.49323,1.22384,1,0.89732,0.97419,0.81403,0.65926,0.50666,1.25618,0.000749939,0.000749939,0.000749939
26,22942.7,0.72208,0.49217,1.22675,0.96762,0.8721,0.96263,0.79064,0.68512,0.58186,1.27351,0.000721645,0.000721645,0.000721645
27,23805.4,0.71981,0.47797,1.23041,0.93544,0.88588,0.96196,0.80179,0.65673,0.55097,1.24969,0.000693351,0.000693351,0.000693351
28,24600.9,0.7256,0.48071,1.22995,0.92357,0.92043,0.95931,0.79903,0.67651,0.55229,1.24649,0.000665057,0.000665057,0.000665057
29,25383.2,0.72101,0.47901,1.22784,0.971,0.91888,0.98038,0.81817,0.67874,0.49367,1.27412,0.000636762,0.000636762,0.000636762
30,26403,0.71115,0.46943,1.22653,0.97998,0.89371,0.97042,0.81878,0.62931,0.51295,1.2341,0.000608468,0.000608468,0.000608468
